postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SW36AA,SW3 6AA,SW,60.7,57.8,76.64,,23,61.7,61.7,,19,16.2,20,,11,16.8,16.8,,0,0,0,1,9,0,9,562,400,,0,562,562,
SW36AB,SW3 6AB,SW,79,88.5,205,,,88.5,88.5,,20,17.8,21,,,17.8,17.8,,0,0,0,0,10,0,10,384,375,,,346,346,
SW36AE,SW3 6AE,SW,79.7,113.4,460,,,96,113.4,460,20,19.2,36,,,18.4,19.2,36,0,0,0,0,20,1,21,657,344,,,536,532,462
SW36AF,SW3 6AF,SW,79.7,124.9,331,,,73.3,124.9,331,20,20.9,36,,,17.2,20.9,36,0,0,0,0,12,3,15,373,311,,,316,373,605
SW36AG,SW3 6AG,SW,79.7,110.6,460,,,81.4,110.5,460,20,19,36,,,17.6,19,36,0,0,0,0,12,1,13,256,210,,,255,236,14
SW36AH,SW3 6AH,SW,93.3,140.6,331,,,113.4,140.6,331,20,19.5,36,,,17.1,19.5,36,0,0,0,0,7,1,8,424,330,,,428,424,395
SW36AJ,SW3 6AJ,SW,76.7,70.9,79.91,,,70.9,70.9,,19.5,18.4,20,,,18.4,18.4,,0,0,0,0,7,0,7,119,55,,,119,119,
SW36AL,SW3 6AL,SW,55.5,59.5,107,,,59.5,59.5,,10,13.8,20,,,13.8,13.8,,0,0,0,0,15,0,15,192,154,,,192,192,
SW36AS,SW3 6AS,SW,77.6,69.7,79.76,,25,73.7,73.7,,20,17.8,20,,6,18.8,18.8,,0,0,0,1,11,0,11,375,147,,2,408,408,
SW36AU,SW3 6AU,SW,77.3,97.1,331,,,83.4,97.1,331,20,17.9,36,,,16.8,17.9,36,0,0,0,0,34,2,36,347,271,,,322,337,593
SW36AX,SW3 6AX,SW,79.7,116.4,593,,18,86.3,119,396.5,20,18.3,39,,1,16.7,18.8,36.8,0,0,0,1,34,4,38,262,195,,0,229,241,342
SW36BB,SW3 6BB,SW,79.7,211.4,1096,,10,74.8,245,1096,19,18.1,49,,4,14.6,20.3,49,0,0,0,1,5,1,6,364,237,,39,410,418,457
SW36BE,SW3 6BE,SW,107,158,460,7,,114.8,185.5,374,20,18.6,36,1,,16.5,21.8,36,0,0,2,0,8,3,11,236,196,9,,215,235,287
SW36BJ,SW3 6BJ,SW,79.1,108.5,460,,16.5,101.8,115.6,460,19.5,16.4,36,,3.5,16.7,17.5,36,0,0,0,2,25,1,26,250,138,,87,242,253,536
SW36BL,SW3 6BL,SW,68.6,58.7,79.67,,17,62.5,62.5,,19.5,16.8,20,,14,17.1,17.1,,0,0,0,1,11,0,11,438,279,,65,432,432,
SW36BQ,SW3 6BQ,SW,58,53.6,79.91,0,,61.1,61.1,,15.8,14,20,1,,16,16,,1,0,0,0,7,0,7,289,210,0,,331,331,
SW36BS,SW3 6BS,SW,78.1,94.7,331,,,74.1,94.7,331,19.8,18.3,36,,,16.8,18.4,36,0,0,0,0,23,2,25,299,118,,,282,275,194
SW36BU,SW3 6BU,SW,78.1,112.7,1000,9,,76.7,115,498.3,19.5,16.9,36,1,,15.9,16.9,27,0,0,1,0,40,4,44,370,254,40,,387,360,97
SW36DB,SW3 6DB,SW,79.7,104.7,205,,,104.7,104.7,,20,17.1,21,,,17.1,17.1,,0,0,0,0,11,0,11,142,112,,,103,103,
SW36DD,SW3 6DD,SW,78.9,88,205,,16,96,96,,19.5,17,21,,1,18.8,18.8,,0,0,0,1,9,0,9,362,280,,229,377,377,
SW36DS,SW3 6DS,SW,70,145.3,460,,,62,145.4,395.5,17.6,19.8,36,,,14.3,19.8,36,0,0,0,0,6,2,8,643,201,,,599,563,456
SW36DT,SW3 6DT,SW,65.4,167,1096,,17,62.2,209.9,1096,20,18,49,,1.5,18.3,22.7,49,0,0,0,2,6,1,7,454,393,,0,530,454,0
SW36DU,SW3 6DU,SW,79.7,159.6,1096,,,74.4,159.6,713.5,19,18.1,49,,,14.4,18.1,42.5,0,0,0,0,13,2,15,395,392,,,380,369,296
SW36DY,SW3 6DY,SW,76.3,115.2,331,,,84.4,115.3,331,20,19.3,36,,,16.9,19.3,36,0,0,0,0,14,2,16,326,190,,,333,306,114
SW36DZ,SW3 6DZ,SW,78,178.2,460,,,69.5,178.2,395.5,20,23.8,36,,,17.8,23.8,36,0,0,0,0,4,2,6,764,721,,,642,764,1010
SW36EA,SW3 6EA,SW,78.7,75.9,107,,,76,76,,20,18,20,,,18,18,,0,0,0,0,5,0,5,419,92,,,419,419,
SW36EB,SW3 6EB,SW,76,126.1,460,,15,101.3,137.2,460,20,19.4,36,,1,19.6,21.2,36,0,0,0,1,9,1,10,414,210,,7,506,455,0
SW36ED,SW3 6ED,SW,37.8,35.6,72.22,3.5,19.3,49.8,49.8,,8.7,7.5,18.04,1,2.3,11.1,11.1,,0,2,0,3,8,0,8,632,294,109,140,868,868,
