postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WC1N2LD,WC1N 2LD,WC,107,133.3,331,7,19,158,172.4,331,15,14.1,36,1,1,16.9,18.5,36,0,0,1,3,11,1,12,269,150,79,165,265,243,0
WC1N2NS,WC1N 2NS,WC,107,128.6,331,5,21,151.5,177.1,331,15,14.2,36,1,1,17.2,19.9,36,0,1,0,2,6,1,7,250,150,6,349,198,220,357
WC1N2PF,WC1N 2PF,WC,107,106.6,205,9,,131,131,,10,13.4,30,1,,16.5,16.5,,0,0,1,0,4,0,4,225,201,1,,225,225,
WC1N2PG,WC1N 2PG,WC,107,111,331,5,20,120.6,146.9,331,10,14.5,36,0,1,17.3,19.6,36,0,0,1,2,7,1,8,274,186,15,21,366,370,399
WC1N2PL,WC1N 2PL,WC,72.4,64.4,107,,17.5,72.3,72.3,,10,13,20,,1,15,15,,0,0,0,2,12,0,12,261,220,,139,281,281,
WC1N3AA,WC1N 3AA,WC,107,111,593,2,17.9,131.5,178.7,462,10,10,39,1,1.1,12.8,16.3,37.5,0,1,0,9,12,2,14,441,384,0,253,583,500,0
WC1N3AB,WC1N 3AB,WC,107,145.8,460,,11.5,124.8,166.5,395.5,10,13.7,36,,1,12,15.7,36,0,0,0,2,11,2,13,552,528,,95,473,537,894
WC1N3AD,WC1N 3AD,WC,107,152.8,331,,19,121,167.7,331,10,15.4,36,,1,11.6,17,36,0,0,0,1,7,2,9,524,439,,189,236,387,915
WC1N3AR,WC1N 3AR,WC,63.8,114.9,331,6.3,16.7,139.7,216.2,331,5.6,11.9,36,1,1.1,13.7,22.6,36,0,1,2,7,6,4,10,199,94,30,94,204,224,254
WC1N3AS,WC1N 3AS,WC,107,131.4,460,,21.7,131.5,197.2,460,10,11.3,36,,1.3,12.8,17.4,36,0,0,0,3,4,1,5,280,168,,113,0,157,783
WC1N3BA,WC1N 3BA,WC,107,115.9,331,,18,99.1,128.1,331,10,11.4,36,,1,9.3,12.6,36,0,0,0,1,7,1,8,89,68,,68,80,70,0
WC1N3BB,WC1N 3BB,WC,107,90.4,205,8,16.3,119.3,119.3,,10,8.6,21,1,1.3,11.4,11.4,,0,0,2,4,16,0,16,133,86,14,106,113,113,
WC1N3BP,WC1N 3BP,WC,21.3,20.9,21.99,,21,,,,1.2,1.2,1.26,,1.2,,,,0,0,0,6,0,0,0,322,299,,322,,,
WC1N3BT,WC1N 3BT,WC,17.5,18.2,23.05,,18.2,,,,1.1,1.1,1.26,,1.1,,,,0,0,0,11,0,0,0,121,56,,121,,,
WC1N3EA,WC1N 3EA,WC,107,80.7,331,,19,100.9,123.9,331,10,7.5,36,,1,9.4,12.1,36,0,0,0,7,9,1,10,354,236,,237,292,364,1018
WC1N3EB,WC1N 3EB,WC,52,63.3,107,,22.5,96,96,,5,5.5,10,,1.3,9,9,,0,0,0,4,5,0,5,562,257,,222,835,835,
WC1N3EE,WC1N 3EE,WC,22.1,21.1,23.34,,21,,,,1.2,1.1,1.26,,1.2,,,,0,0,0,6,0,0,0,319,212,,266,,,
WC1N3EN,WC1N 3EN,WC,62.8,112.4,593,,16.8,123.3,208,462,5.6,9.7,39,,1.3,11.8,18.3,37.5,0,0,0,8,6,2,8,398,293,,306,255,342,603
WC1N3EP,WC1N 3EP,WC,107,117.9,593,9,17.4,107,185.9,462,10,10.1,39,1,1.2,10,16.1,37.5,0,0,1,5,7,2,9,379,271,342,124,513,399,0
WC1N3EQ,WC1N 3EQ,WC,52,72.9,205,4,21.3,121.1,121.1,,5,6.7,21,1,1.3,11.7,11.7,,0,1,0,8,10,0,10,227,111,13,211,217,217,
WC1N3ER,WC1N 3ER,WC,107,163.6,593,4,24,121,196.8,462,10,14.4,39,1,1,11.6,17.3,37.5,0,1,0,1,7,2,9,295,285,546,192,296,246,71
WC1N3ES,WC1N 3ES,WC,22.9,47.8,107,,22.4,107,107,,1.2,3.8,10,,1.1,10,10,,0,0,0,7,3,0,3,159,94,,100,245,245,
WC1N3EW,WC1N 3EW,WC,19.2,74.5,460,,17.2,205,332.5,460,1,6,36,,1,21,28.5,36,0,0,0,9,1,1,2,252,79,,166,2,640,1278
WC1N3HB,WC1N 3HB,WC,15.1,16.2,22.44,7,18.5,,,,1.1,1.1,1.26,1,1.3,,,,0,0,1,4,0,0,0,117,128,128,114,,,
WC1N3HZ,WC1N 3HZ,WC,21.6,48.1,205,4,19.9,121,121,,1.2,4.1,21,0.5,1.1,11.6,11.6,,0,1,1,15,7,0,7,291,220,62,199,470,470,
WC1N3JB,WC1N 3JB,WC,205,233,593,,12,121.3,269.8,418.3,21,21.1,39,,1,12,24.5,37,0,0,0,1,3,3,6,308,262,,50,208,300,391
WC1N3JP,WC1N 3JP,WC,107,94.7,593,6,17.6,129.6,153.4,462,10,8.7,39,1,1.1,12.5,14.3,37.5,0,1,1,19,26,2,28,415,356,363,225,479,444,0
WC1N3JT,WC1N 3JT,WC,107,150.2,1096,,17.8,155.7,225,554.5,10,13,49,,1.2,15.5,19.7,39.3,0,0,0,13,19,4,23,510,309,,220,635,585,346
WC1N3JW,WC1N 3JW,WC,19.8,97.9,331,,17.4,135.2,208.6,331,1.2,9.9,36,,1.1,13.4,21.9,36,0,0,0,11,5,3,8,233,188,,175,236,283,362
WC1N3LE,WC1N 3LE,WC,107,86.7,205,,18.4,115.2,115.2,,10,8,21,,1.2,10.9,10.9,,0,0,0,5,12,0,12,188,188,,221,112,112,
WC1N3LW,WC1N 3LW,WC,21.8,31.9,160,8,20.3,160,160,,1.1,3.7,30,0,1.1,30,30,,0,0,1,9,1,0,1,166,152,37,167,124,124,
WC1N3LX,WC1N 3LX,WC,22.1,21.6,24.31,,21.7,,,,1.1,1.1,1.25,,1.2,,,,0,0,0,6,0,0,0,250,232,,208,,,
WC1N3NB,WC1N 3NB,WC,19.7,18.6,22.94,8,19.4,,,,1.2,1.3,2.25,1,1.3,,,,0,0,1,12,0,0,0,171,103,0,171,,,
WC1N3NG,WC1N 3NG,WC,18.7,18.9,22.65,,18.9,,,,1.1,1.1,1.27,,1.1,,,,0,0,0,12,0,0,0,96,39,,96,,,
WC1N3PB,WC1N 3PB,WC,107,103.9,331,,18.8,126.6,160.7,331,10,10.2,36,,1.3,12.2,16.2,36,0,0,0,4,5,1,6,496,365,,166,626,633,668
WC1N3PD,WC1N 3PD,WC,64.8,92.3,331,,21.8,107,163,331,5.6,8.8,36,,1,10,16.5,36,0,0,0,4,3,1,4,499,191,,262,45,488,1815
WC1N3PF,WC1N 3PF,WC,107,125.5,1096,,17.5,142.6,183.4,713.5,10,10.8,49,,1,14,16.1,42.5,0,0,0,15,26,2,28,450,429,,319,435,424,289
WC1N3PG,WC1N 3PG,WC,107,129,1096,,19.8,132.3,207.9,586,10,10.7,49,,1.2,13,17.6,40.3,0,0,0,13,15,3,18,281,209,,165,317,302,225
WC1N3PH,WC1N 3PH,WC,107,129.7,205,,23,144.9,144.9,,14.8,14.2,21,,1,16.1,16.1,,0,0,0,1,7,0,7,521,610,,76,510,510,
WC1N3PJ,WC1N 3PJ,WC,107,143.3,331,,17.5,130.9,164.3,331,10,14.5,36,,1,12.8,16.7,36,0,0,0,2,10,2,12,266,237,,309,248,215,50
WC1N3PR,WC1N 3PR,WC,107,116.8,331,,19.6,112.3,152.8,331,10,11.7,36,,1.2,10.9,15.5,36,0,0,0,10,22,5,27,409,349,,299,352,420,722
