postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E47PP,E4 7PP,E,78,89.8,331,,16,86.4,94.9,331,19.5,15.8,36,,1,16.1,16.8,36,0,0,0,2,28,1,29,721,681,,112,681,738,2351
E47PQ,E4 7PQ,E,107,112.3,331,3.5,,112.2,130.4,331,10,12.4,36,1,,12.4,14.3,36,0,2,0,0,11,1,12,548,337,188,,630,608,373
E47PR,E4 7PR,E,63.2,111,460,5,16,102.4,162,460,19.1,14.3,36,0.5,1,18,21,36,1,0,1,1,5,1,6,305,222,68,573,233,289,567
E47PS,E4 7PS,E,107,132.7,593,1,11,106.9,160.9,593,10,14.6,39,0,1,15.1,17.8,39,1,0,0,1,8,1,9,364,203,0,187,340,303,0
E47PT,E4 7PT,E,107,258.6,1096,,16,117,355.6,713.5,10,17.8,49,,1,12.7,24.6,42.5,0,0,0,2,3,2,5,474,273,,42,486,552,651
E47PW,E4 7PW,E,47.8,47.3,78.12,10,13.3,59.4,59.4,,16.5,12.2,20,1,1.2,16,16,,0,0,1,6,20,0,20,176,71,15,27,228,228,
E47PY,E4 7PY,E,77.9,156.2,1096,8,15,97.5,170.8,586,19.5,19,49,1,1,17.4,20.8,40.3,0,0,1,1,17,3,20,635,435,11,67,654,663,714
E47PZ,E4 7PZ,E,74.7,114.6,593,,10,96.6,121.8,462,18.6,16.3,39,,1,15.9,17.3,37.5,0,0,0,2,27,2,29,770,670,,134,774,734,194
E47QA,E4 7QA,E,79.7,154.7,1096,,,92.3,154.7,716.3,19.5,18.4,49,,,15.8,18.4,41.3,0,0,0,0,27,3,30,669,378,,,686,624,68
E47QB,E4 7QB,E,54.1,105.6,593,5,26,84,122.6,418.3,10,13.8,39,4,7.3,12.5,15.3,37,0,1,1,3,23,3,26,923,634,376,286,1019,968,574
E47QD,E4 7QD,E,50.1,107.4,593,8.8,23,71,122.5,439.8,10,13.4,39,1,7,11.5,15,37,0,0,4,3,37,6,43,624,446,595,678,614,579,363
E47QE,E4 7QE,E,77.4,95.7,593,7.7,18.5,88.6,105.4,418.3,10,12.8,39,1,5,12.7,13.9,37,0,0,3,4,56,3,59,450,285,124,324,460,437,0
E47QJ,E4 7QJ,E,7.8,7.1,8.43,7,,,,,1.1,1.1,1.17,1,,,,,0,1,4,0,0,0,0,168,45,168,,,,
E47QL,E4 7QL,E,4.9,10.2,160,4.5,,160,160,,0.7,1.8,30,0.7,,30,30,,4,10,12,0,1,0,1,247,151,230,,203,203,
E47QR,E4 7QR,E,5.8,5.4,6.88,5.4,,,,,0.7,0.7,0.99,0.7,,,,,0,3,7,0,0,0,0,206,87,206,,,,
E47QS,E4 7QS,E,2.3,2.9,6.01,2.9,,,,,0.9,0.8,1.02,0.8,,,,,5,4,3,0,0,0,0,249,106,166,,,,
E47QT,E4 7QT,E,5.5,6,14.92,5.3,13.5,,,,0.8,0.8,1.25,0.8,1,,,,1,8,11,2,0,0,0,128,72,135,59,,,
E47RA,E4 7RA,E,75.8,52.6,79.67,3.7,,77,77,,19.5,13.5,20,0.7,,19.8,19.8,,0,2,1,0,6,0,6,264,137,28,,382,382,
E47RD,E4 7RD,E,78.1,67,78.13,,,67,67,,19.5,17.5,20,,,17.6,17.6,,0,0,0,0,7,0,7,1008,865,,,1008,1008,
E47RE,E4 7RE,E,52.8,51.6,75.35,4,,59.7,59.7,,12.9,12,20,0,,14,14,,0,1,0,0,6,0,6,452,358,4,,526,526,
E47RF,E4 7RF,E,34.5,36.6,74.35,,21.3,40.7,40.7,,7.7,7.9,15.23,,5.7,8.5,8.5,,0,0,0,3,11,0,11,810,791,,198,976,976,
E47RG,E4 7RG,E,23.7,25.2,47.73,2.3,22.2,37.1,37.1,,6.6,5.9,8.54,0.7,6.1,7.1,7.1,,0,3,0,17,10,0,10,423,245,84,504,386,386,
E47RH,E4 7RH,E,16.4,29.7,160,5.9,18.4,95,95,,1.4,5.9,30,1,2.4,22,22,,2,1,5,12,5,0,5,513,397,226,659,517,517,
E47RJ,E4 7RJ,E,19.1,27.7,160,3,21.5,99,99,,4.4,5.4,30,1.7,4.2,17.5,17.5,,1,2,0,11,2,0,2,454,257,255,516,188,188,
