postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SE186TT,SE18 6TT,SE,74.3,140.9,1096,,19,93.5,156.1,1096,13.8,15.4,49,,1,15.1,17.2,49,0,0,0,2,15,1,16,807,682,,89,903,847,0
SE186TU,SE18 6TU,SE,48.7,71,205,9,16.8,86.4,86.4,,9.1,9,21,1,2.7,10.9,10.9,,0,0,1,6,25,0,25,534,459,459,385,551,551,
SE186TW,SE18 6TW,SE,63.1,63.8,205,,20.2,72.9,72.9,,10,12.2,21,,3.4,14,14,,0,0,0,5,24,0,24,801,519,,1468,662,662,
SE186TX,SE18 6TX,SE,59.6,56.6,107.55,,20,69.5,69.5,,10,11.4,20,,2.3,14.6,14.6,,0,0,0,6,17,0,17,872,625,,1426,677,677,
SE186TY,SE18 6TY,SE,52,93.8,460,10,14,82.8,114,374,10,13.1,36,1,2.3,13.4,15.8,36,0,0,1,6,25,3,28,707,432,843,713,659,600,103
SE186TZ,SE18 6TZ,SE,54.8,73.8,593,3,13.5,69.4,80.3,593,10,11.2,39,3,1,11.6,12.2,39,0,1,0,4,47,1,48,685,571,141,180,667,653,0
SE186UA,SE18 6UA,SE,65.5,61,107,,13,67.9,67.9,,11.5,12.1,19.55,,1,13.7,13.7,,0,0,0,1,7,0,7,715,542,,1321,628,628,
SE186UB,SE18 6UB,SE,54.8,63.4,107,6.7,14.5,74.5,74.5,,10,10,20,1,2.5,11.7,11.7,,0,1,2,2,24,0,24,651,387,17,1377,534,534,
SE186UD,SE18 6UD,SE,39.9,43,79.6,7.3,17.4,50.3,50.3,,7.7,9.4,20,3.7,4,10.8,10.8,,0,0,3,5,32,0,32,975,626,534,638,1069,1069,
SE186UF,SE18 6UF,SE,45.5,88.6,331,5,23,90.1,99.3,331,9.5,10.4,36,1,4.7,10.5,11.5,36,0,1,0,3,25,1,26,839,715,434,437,803,804,841
SE186UZ,SE18 6UZ,SE,72.8,98.7,331,,21,85.9,108.2,331,11.7,15.3,36,,3.3,14.8,16.8,36,0,0,0,4,30,3,33,660,620,,209,675,695,900
SE186WG,SE18 6WG,SE,107,129.3,331,,,106.9,129.3,331,10,16.6,36,,,14.4,16.6,36,0,0,0,0,9,1,10,660,484,,,603,594,508
SE186WP,SE18 6WP,SE,93.5,154.4,1096,,,91.6,154.4,1096,10,13.8,49,,,11.5,13.8,49,0,0,0,0,15,1,16,624,490,,,537,507,57
SE186XB,SE18 6XB,SE,72.9,56.5,79.67,6,14.5,67.5,67.5,,19.5,14.5,20,1,1,17.9,17.9,,0,0,1,4,20,0,20,525,526,0,307,542,542,
SE186XD,SE18 6XD,SE,150,202.9,1000,,17.3,106.9,212.8,700,19.5,14,20,,1,5.7,4.7,0,0,0,0,3,46,10,56,591,387,,18,243,200,0
SE186XH,SE18 6XH,SE,75.3,63.7,156.17,,16.4,72.8,72.8,,19.5,15.4,29.32,,1,18.2,18.2,,0,0,0,5,26,0,26,983,705,,502,1075,1075,
SE186XJ,SE18 6XJ,SE,70.5,66.4,79.28,,,66.4,66.4,,19.5,17.1,20,,,17.1,17.1,,0,0,0,0,8,0,8,1068,1089,,,1068,1068,
SE186XN,SE18 6XN,SE,77.6,78.2,159.6,,18.5,81.8,81.8,,19.5,17.3,25.76,,1,18.2,18.2,,0,0,0,2,33,0,33,1093,869,,1419,1073,1073,
SE186XP,SE18 6XP,SE,79.1,143.9,593,,,79.9,144,593,14.8,18.5,39,,,15.6,18.5,39,0,0,0,0,7,1,8,664,641,,,569,498,0
SE186YJ,SE18 6YJ,SE,55,214.2,1000,,,57,214.2,1000,10,29.2,115,,,12,29.2,115,0,0,0,0,10,2,12,477,518,,,454,477,595
SE186YL,SE18 6YL,SE,79.7,157.8,1000,10,12.7,105.9,171,583.3,19.5,15.1,20,0,1,9.4,8.2,0,0,0,1,3,38,6,44,452,429,11,294,262,226,0
SE186YN,SE18 6YN,SE,114.8,208.3,1000,,17.5,104.9,216,722.2,19.5,15.7,20,,1,7.2,5.9,0,0,0,0,2,41,9,50,717,680,,992,284,233,0
SE186YR,SE18 6YR,SE,78.1,225.6,1000,,17.3,90.1,240.4,791.7,19.5,13.8,20,,1.3,8.1,6.3,0,0,0,0,4,44,12,56,604,613,,347,311,245,0
