postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
W37PB,W3 7PB,W,27.2,24.7,31.89,8.5,25.9,31.5,31.5,,5.4,5.2,9.77,1,5.3,8.5,8.5,,0,0,2,15,2,0,2,699,608,448,689,1019,1019,
W37PD,W3 7PD,W,44.1,47.3,61.51,,30,50.2,50.2,,16.2,14,19,,7,15,15,,0,0,0,1,6,0,6,732,448,,448,779,779,
W37PE,W3 7PE,W,44.9,46.7,79.75,,,46.7,46.7,,15.6,14.8,20,,,14.9,14.9,,0,0,0,0,14,0,14,1170,846,,,1171,1171,
W37PF,W3 7PF,W,55.1,51.2,63.31,,,51.3,51.3,,15.7,16.5,20,,,16.6,16.6,,0,0,0,0,7,0,7,835,767,,,835,835,
W37PG,W3 7PG,W,63.6,72.7,156.11,,,72.8,72.8,,19.5,19.5,24.44,,,19.5,19.5,,0,0,0,0,8,0,8,1235,964,,,1235,1235,
W37PH,W3 7PH,W,22.4,19.8,36.79,5.5,20.7,35,35,,5.1,4.5,7.81,1,5,7.3,7.3,,0,2,2,13,3,0,3,707,666,348,651,954,954,
W37PJ,W3 7PJ,W,23.4,20.3,29.54,5.3,24.1,,,,5.5,5.2,9.82,1.3,6.2,,,,0,1,2,12,0,0,0,598,502,183,702,,,
W37PL,W3 7PL,W,49.1,39,55.9,2,,51.3,51.3,,17.6,13.8,19.53,0.5,,18.2,18.2,,1,1,0,0,6,0,6,478,420,16,,632,632,
W37PN,W3 7PN,W,80,139,329.92,,,96.8,139,329,20,26.2,49.99,,,21,26.2,49.5,0,0,0,0,9,2,11,726,773,,,700,726,845
W37PP,W3 7PP,W,47.8,58.7,154.05,5,,69.6,69.6,,18.6,15.7,26.38,1,,18.8,18.8,,0,1,0,0,5,0,5,1010,760,95,,1193,1193,
W37PQ,W3 7PQ,W,59.8,56.7,159.61,3.5,29,65.9,65.9,,19.1,14.5,20,0.5,9,16.8,16.8,,0,4,0,1,26,0,26,621,466,66,172,700,700,
W37PR,W3 7PR,W,66.8,66.8,110.6,,,66.8,66.8,,19.5,16.3,20,,,16.3,16.3,,0,0,0,0,15,0,15,870,475,,,870,870,
W37PS,W3 7PS,W,29,25.1,35,6.3,28.7,34.2,34.2,,6.2,5.4,10,0.7,6.3,7.6,7.6,,0,1,2,3,5,0,5,469,342,124,543,632,632,
